duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
317268255,49954166378,0,1783346291844627147,2500000,2500000,380.423550,0.000000,0.000000,3224.000000,948826876.000000,348669930.000000,87437611.000000,11768789.000000,107026783.000000,28406793.000000,15078660.000000,248475.000000
315169683,49954166378,0,1783346293230772336,2500000,2500000,378.040054,0.000000,0.000000,3224.000000,942881112.000000,348906853.000000,87486741.000000,11783133.000000,107078369.000000,28399323.000000,14654967.000000,259339.000000
318052680,49954166378,0,1783346294609931198,2500000,2500000,381.137771,0.000000,0.000000,3224.000000,950607530.000000,348670020.000000,87437651.000000,11757929.000000,107026807.000000,28410672.000000,15259078.000000,258490.000000
314236666,49954166378,0,1783346296063092180,2500000,2500000,377.011741,0.000000,0.000000,3224.000000,940316266.000000,348670034.000000,87437658.000000,11721276.000000,107026836.000000,28359560.000000,14742757.000000,244121.000000
316372305,49954166378,0,1783346297463299879,2500000,2500000,379.303996,0.000000,0.000000,3224.000000,946033883.000000,348671040.000000,87437967.000000,11765988.000000,107027117.000000,28405407.000000,14979938.000000,253825.000000
316555376,49954166378,0,1783346298917019804,2500000,2500000,379.172648,0.000000,0.000000,3224.000000,945706223.000000,348669119.000000,87437465.000000,11742733.000000,107026575.000000,28403965.000000,14553257.000000,320744.000000
316721983,49954166378,0,1783346300342922991,2500000,2500000,379.661608,0.000000,0.000000,3224.000000,946926032.000000,348669759.000000,87437593.000000,11781790.000000,107026729.000000,28402721.000000,15034021.000000,246290.000000
313423217,49954166378,0,1783346301769437517,2500000,2500000,376.044822,0.000000,0.000000,3224.000000,937904769.000000,348669316.000000,87437534.000000,11760556.000000,107026616.000000,28358854.000000,14517887.000000,243855.000000
315338181,49954166378,0,1783346303236417912,2500000,2500000,378.142351,0.000000,0.000000,3224.000000,943136404.000000,348669896.000000,87437650.000000,11753069.000000,107026795.000000,28372579.000000,14806100.000000,251136.000000
314291289,49954166378,0,1783346304733505561,2500000,2500000,377.010996,0.000000,0.000000,3224.000000,940314314.000000,348669803.000000,87437618.000000,11793158.000000,107026787.000000,28382227.000000,14516798.000000,247055.000000
