duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
305625042,49954166378,0,1783284649657072684,2500000,2500000,367.474977,0.000000,0.000000,3224.000000,916529075.000000,348670769.000000,87437811.000000,11732263.000000,107026930.000000,28301476.000000,14470697.000000,53405.000000
305636264,49954166378,0,1783284650565048257,2500000,2500000,367.637277,0.000000,0.000000,3224.000000,916935646.000000,348672089.000000,87438136.000000,11735387.000000,107027325.000000,28307348.000000,14506681.000000,52390.000000
306607293,49954166378,0,1783284651460140807,2500000,2500000,368.542816,0.000000,0.000000,3224.000000,919192219.000000,348670024.000000,87437676.000000,11765769.000000,107026765.000000,28256420.000000,14604238.000000,53420.000000
306681337,49954166378,0,1783284652356762386,2500000,2500000,368.644581,0.000000,0.000000,3224.000000,919446724.000000,348671235.000000,87437870.000000,11780514.000000,107027049.000000,28303974.000000,14596254.000000,53463.000000
305101171,49954166378,0,1783284653231951078,2500000,2500000,366.804520,0.000000,0.000000,3224.000000,914857723.000000,348670522.000000,87437757.000000,11734528.000000,107026881.000000,28236429.000000,14379109.000000,54291.000000
305704605,49954166378,0,1783284654108937433,2500000,2500000,367.479567,0.000000,0.000000,3224.000000,916541147.000000,348671058.000000,87437833.000000,11810465.000000,107027009.000000,28268879.000000,14342359.000000,53277.000000
305930645,49954166378,0,1783284654987619451,2500000,2500000,367.760580,0.000000,0.000000,3224.000000,917240867.000000,348669896.000000,87437653.000000,11732585.000000,107026739.000000,28295255.000000,14527764.000000,53289.000000
306915884,49954166378,0,1783284655902204260,2500000,2500000,368.961366,0.000000,0.000000,3224.000000,920237927.000000,348670533.000000,87437759.000000,11778301.000000,107026931.000000,28300944.000000,14655669.000000,53439.000000
307498837,49954166378,0,1783284656780167285,2500000,2500000,369.445508,0.000000,0.000000,3224.000000,921444263.000000,348669806.000000,87437584.000000,11785912.000000,107026771.000000,28305722.000000,14722622.000000,52792.000000
303675950,49954166378,0,1783284657673930401,2500000,2500000,365.196591,1.000000,0.000000,3225.000000,910783429.000000,348680940.000000,87439970.000000,11755417.000000,107029873.000000,29617724.000000,14750209.000000,64164.000000
307469466,49954166378,0,1783284658485489445,2500000,2500000,369.450380,0.000000,0.000000,3224.000000,921456363.000000,348679495.000000,87439652.000000,11799740.000000,107028935.000000,28295951.000000,14438506.000000,89686.000000
308842780,49954166378,0,1783284659335361674,2500000,2500000,370.924489,0.000000,0.000000,3224.000000,925132826.000000,348669771.000000,87437627.000000,11737855.000000,107026731.000000,28287377.000000,14728776.000000,99058.000000
307996369,49954166378,0,1783284660213819106,2500000,2500000,370.052158,0.000000,0.000000,3224.000000,922957342.000000,348670157.000000,87437691.000000,11735528.000000,107026837.000000,28335694.000000,14482288.000000,94620.000000
308385888,49954166378,0,1783284661139373372,2500000,2500000,370.498813,0.000000,0.000000,3224.000000,924071295.000000,348668889.000000,87437430.000000,11734225.000000,107026504.000000,28325903.000000,14600469.000000,87777.000000
