duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:cycles,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cache-misses,perf:l2_rqsts.all_demand_miss,perf:L1-dcache-misses
313454637,49954166378,0,1783263548144042078,2500000,2500000,938326877.000000,0.000000,0.000000,3224.000000,1341467.000000,15181032.000000,28340983.000000
310718675,49954166378,0,1783263549251087530,2500000,2500000,930810832.000000,0.000000,0.000000,3224.000000,1289394.000000,14850241.000000,28371960.000000
312999056,49954166378,0,1783263550081790011,2500000,2500000,936957141.000000,0.000000,0.000000,3224.000000,1350281.000000,15088597.000000,28360846.000000
312162553,49954166378,0,1783263550936680919,2500000,2500000,934739583.000000,0.000000,0.000000,3224.000000,1275072.000000,15051246.000000,28356652.000000
318937925,49954166378,0,1783263551770979366,2500000,2500000,953446902.000000,0.000000,0.000000,3224.000000,1375899.000000,16076087.000000,28417264.000000
310010626,49954166378,0,1783263552639096244,2500000,2500000,928857047.000000,0.000000,0.000000,3224.000000,1266412.000000,14780713.000000,28360586.000000
313789222,49954166378,0,1783263553461532415,2500000,2500000,939123957.000000,0.000000,0.000000,3224.000000,1390231.000000,15112007.000000,28361832.000000
313162043,49954166378,0,1783263554302347128,2500000,2500000,937517394.000000,0.000000,0.000000,3224.000000,1307535.000000,15247803.000000,28340674.000000
315483694,49954166378,0,1783263555125147951,2500000,2500000,943808804.000000,0.000000,0.000000,3224.000000,1366680.000000,15501373.000000,28407568.000000
310260184,49954166378,0,1783263555961645184,2500000,2500000,929326861.000000,0.000000,0.000000,3224.000000,1273098.000000,14803018.000000,28359342.000000
312985634,49954166378,0,1783263556774815565,2500000,2500000,936673266.000000,0.000000,0.000000,3224.000000,1398750.000000,14946904.000000,28364336.000000
310588933,49954166378,0,1783263557628774978,2500000,2500000,930623294.000000,0.000000,0.000000,3224.000000,1259212.000000,14916914.000000,28364176.000000
308908394,49954166378,0,1783263558435002506,2500000,2500000,925957963.000000,1.000000,0.000000,3225.000000,1272672.000000,15512996.000000,29838902.000000
311197949,49954166378,0,1783263559291281746,2500000,2500000,931920675.000000,0.000000,0.000000,3224.000000,1271966.000000,14848691.000000,28355720.000000
311533960,49954166378,0,1783263560101028889,2500000,2500000,932827143.000000,0.000000,0.000000,3224.000000,1365959.000000,14760552.000000,28353009.000000
313371972,49954166378,0,1783263560945545772,2500000,2500000,938052037.000000,0.000000,0.000000,3224.000000,1249842.000000,15271227.000000,28384997.000000
312909383,49954166378,0,1783263561698248727,2500000,2500000,936954213.000000,0.000000,0.000000,3224.000000,1406159.000000,15021329.000000,28384364.000000
312374080,49954166378,0,1783263562550223074,2500000,2500000,935170958.000000,0.000000,0.000000,3224.000000,1283731.000000,15077666.000000,28371672.000000
313335722,49954166378,0,1783263563367179529,2500000,2500000,937952167.000000,0.000000,0.000000,3224.000000,1394181.000000,15104248.000000,28400754.000000
