duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:cycles,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cache-misses,perf:l2_rqsts.all_demand_miss,perf:L1-dcache-misses
318585631,49954166378,0,1783269664181001508,2500000,2500000,952595688.000000,0.000000,0.000000,3224.000000,1540990.000000,15719670.000000,28410714.000000
316330117,49954166378,0,1783269664985850933,2500000,2500000,946264737.000000,0.000000,0.000000,3224.000000,1498888.000000,15427319.000000,28400660.000000
314440332,49954166378,0,1783269665715372141,2500000,2500000,941152421.000000,0.000000,0.000000,3224.000000,1511421.000000,15138399.000000,28396407.000000
313114339,49954166378,0,1783269666431607668,2500000,2500000,937425393.000000,0.000000,0.000000,3224.000000,1494645.000000,14922266.000000,28337996.000000
315260552,49954166378,0,1783269667111456751,2500000,2500000,943240011.000000,0.000000,0.000000,3224.000000,1558648.000000,15188987.000000,28400529.000000
314682384,49954166378,0,1783269667794009626,2500000,2500000,941571809.000000,0.000000,0.000000,3224.000000,1507379.000000,15110358.000000,28368715.000000
316737626,49954166378,0,1783269668479698141,2500000,2500000,947601105.000000,0.000000,0.000000,3224.000000,1504782.000000,15576371.000000,28426074.000000
314718962,49954166378,0,1783269669158613403,2500000,2500000,941767215.000000,0.000000,0.000000,3224.000000,1482793.000000,15240982.000000,28387836.000000
314831368,49954166378,0,1783269669839593173,2500000,2500000,941914611.000000,0.000000,0.000000,3224.000000,1521120.000000,15090662.000000,28371211.000000
315098363,49954166378,0,1783269670523638725,2500000,2500000,942838066.000000,0.000000,0.000000,3224.000000,1459017.000000,15292570.000000,28383357.000000
313726680,49954166378,0,1783269671211308865,2500000,2500000,939190636.000000,0.000000,0.000000,3224.000000,1518961.000000,14989294.000000,28385449.000000
313869755,49954166378,0,1783269671898033225,2500000,2500000,939443850.000000,1.000000,0.000000,3224.000000,1506266.000000,15018129.000000,28384977.000000
315076276,49954166378,0,1783269672581596443,2500000,2500000,943116209.000000,0.000000,0.000000,3224.000000,1521077.000000,15227167.000000,28404194.000000
313349236,49954166378,0,1783269673333562784,2500000,2500000,937998133.000000,0.000000,0.000000,3224.000000,1485105.000000,14970008.000000,28373687.000000
