cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,307467419,49954166378,2500000,369.526281,0.000000,0.000000,3224.000000,921646295.000000,348675809.000000,87438845.000000,11746629.000000,107028485.000000,28303596.000000,14605622.000000,77573.000000,1783455859735280927,0
2500000,308349327,49954166378,2500000,370.429329,0.000000,0.000000,3224.000000,923897308.000000,348675603.000000,87438805.000000,11766906.000000,107028462.000000,28270108.000000,14697138.000000,81483.000000,1783455860150792733,0
2500000,308853292,49954166378,2500000,370.929742,0.000000,0.000000,3224.000000,925148049.000000,348675418.000000,87438791.000000,11786821.000000,107028405.000000,28315431.000000,14773967.000000,78587.000000,1783455860570559645,0
2500000,307034213,49954166378,2500000,369.060671,0.000000,0.000000,3224.000000,920486205.000000,348675170.000000,87438726.000000,11747150.000000,107028378.000000,28312264.000000,14459932.000000,85028.000000,1783455860988487285,0
2500000,309909102,49954166378,2500000,372.286340,0.000000,0.000000,3224.000000,928531827.000000,348674502.000000,87438599.000000,11802723.000000,107028207.000000,28316827.000000,14973403.000000,76037.000000,1783455861405764861,0
2500000,309547201,49954166378,2500000,371.957342,0.000000,0.000000,3224.000000,927708369.000000,348676209.000000,87438926.000000,11757924.000000,107028686.000000,28329738.000000,14936557.000000,82647.000000,1783455861826057942,0
2500000,307519625,49954166378,2500000,369.160193,1.000000,0.000000,3225.000000,920705488.000000,348693520.000000,87442588.000000,11787516.000000,107033519.000000,28912868.000000,14781130.000000,89665.000000,1783455862247466805,0
2500000,310734355,49954166378,2500000,373.006636,0.000000,0.000000,3224.000000,930325919.000000,348673914.000000,87438455.000000,11762753.000000,107028082.000000,28324729.000000,14517236.000000,163526.000000,1783455862666779985,0
2500000,312790917,49954166378,2500000,375.357234,0.000000,0.000000,3224.000000,936190462.000000,348677979.000000,87439179.000000,11774048.000000,107029176.000000,28362809.000000,14947343.000000,151436.000000,1783455863087381012,0
2500000,309964264,49954166378,2500000,372.251188,0.000000,0.000000,3224.000000,928443031.000000,348674109.000000,87438502.000000,11726872.000000,107028121.000000,28350000.000000,14451587.000000,164758.000000,1783455863510088403,0
2500000,310713339,49954166378,2500000,373.056936,0.000000,0.000000,3224.000000,930450279.000000,348674811.000000,87438676.000000,11737692.000000,107028308.000000,28356870.000000,14647045.000000,157351.000000,1783455863929261837,0
2500000,310177478,49954166378,2500000,372.419738,0.000000,0.000000,3224.000000,928862825.000000,348678825.000000,87439289.000000,11743595.000000,107029346.000000,28333852.000000,14477782.000000,162984.000000,1783455864348835193,0
2500000,311522483,49954166378,2500000,373.970555,0.000000,0.000000,3224.000000,932731874.000000,348674884.000000,87438672.000000,11723528.000000,107028363.000000,28356931.000000,14798346.000000,157531.000000,1783455864766869727,0
2500000,311914096,49954166378,2500000,374.404384,0.000000,0.000000,3224.000000,933811728.000000,348675923.000000,87438887.000000,11746816.000000,107028651.000000,28358468.000000,14754324.000000,167562.000000,1783455865187220796,0
2500000,313986613,49954166378,2500000,377.290583,0.000000,0.000000,3224.000000,941012165.000000,348675402.000000,87438710.000000,11758075.000000,107028423.000000,28378084.000000,15168193.000000,159094.000000,1783455865609070597,0
2500000,310036217,49954166378,2500000,372.269816,0.000000,0.000000,3224.000000,928489253.000000,348675420.000000,87438714.000000,11761685.000000,107028444.000000,28290509.000000,14456509.000000,158604.000000,1783455866033882465,0
2500000,312402205,49954166378,2500000,374.927122,0.000000,0.000000,3224.000000,935116137.000000,348675839.000000,87438832.000000,11752908.000000,107028600.000000,28347897.000000,14888486.000000,162913.000000,1783455866454821568,0
2500000,311765144,49954166378,2500000,374.214984,0.000000,0.000000,3224.000000,933340311.000000,348675889.000000,87438892.000000,11754435.000000,107028659.000000,28358467.000000,14686123.000000,173410.000000,1783455866878092050,0
2500000,312456022,49954166378,2500000,374.953564,0.000000,0.000000,3224.000000,935180349.000000,348675945.000000,87438858.000000,11785764.000000,107028610.000000,28356007.000000,14872496.000000,154882.000000,1783455867299849344,0
2500000,311117272,49954166378,2500000,373.485700,0.000000,0.000000,3224.000000,931519657.000000,348675933.000000,87438939.000000,11770727.000000,107028652.000000,28339266.000000,14603525.000000,162029.000000,1783455867722786604,0
2500000,313453108,49954166378,2500000,375.994218,0.000000,0.000000,3224.000000,937777311.000000,348674844.000000,87438649.000000,11773306.000000,107028323.000000,28360803.000000,15000275.000000,162131.000000,1783455868144093115,0
2500000,309751429,49954166378,2500000,371.921057,0.000000,0.000000,3224.000000,927618370.000000,348674890.000000,87438677.000000,11761330.000000,107028355.000000,28331951.000000,14382885.000000,159203.000000,1783455868565405575,0
2500000,312437104,49954166378,2500000,374.975363,0.000000,0.000000,3224.000000,935236621.000000,348674812.000000,87438671.000000,11771914.000000,107028323.000000,28349811.000000,14862490.000000,164633.000000,1783455868984260104,0
2500000,311296369,49954166378,2500000,373.685593,0.000000,0.000000,3224.000000,932019363.000000,348675833.000000,87438792.000000,11751575.000000,107028522.000000,28354902.000000,14639412.000000,165121.000000,1783455869405104892,0
2500000,312459380,49954166378,2500000,375.024813,0.000000,0.000000,3224.000000,935359991.000000,348675395.000000,87438762.000000,11741833.000000,107028451.000000,28350691.000000,14959407.000000,153556.000000,1783455869824600164,0
