cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,313320502,49954166378,2500000,375.963644,0.000000,0.000000,3224.000000,937693661.000000,348671969.000000,87438001.000000,11767299.000000,107027271.000000,28301387.000000,14638599.000000,221919.000000,1783454437036845808,0
2500000,313381168,49954166378,2500000,376.123812,0.000000,0.000000,3224.000000,938092818.000000,348670879.000000,87437809.000000,11753601.000000,107027030.000000,28372071.000000,14650792.000000,225626.000000,1783454437500403300,0
2500000,314241055,49954166378,2500000,377.096485,0.000000,0.000000,3224.000000,940518457.000000,348670684.000000,87437842.000000,11763425.000000,107026996.000000,28375297.000000,14874088.000000,208138.000000,1783454437926821856,0
2500000,314587975,49954166378,2500000,377.384418,0.000000,0.000000,3224.000000,941237437.000000,348670655.000000,87437775.000000,11763471.000000,107026951.000000,28382722.000000,14691144.000000,224823.000000,1783454438361320807,0
2500000,315138553,49954166378,2500000,378.130500,0.000000,0.000000,3224.000000,943097687.000000,348671052.000000,87437793.000000,11781341.000000,107027031.000000,28387856.000000,14990858.000000,200384.000000,1783454438789285136,0
2500000,313268353,49954166378,2500000,376.110950,0.000000,0.000000,3224.000000,938060523.000000,348670329.000000,87437726.000000,11748339.000000,107026886.000000,28332392.000000,14591839.000000,218944.000000,1783454439217263086,0
2500000,317156583,49954166378,2500000,380.379554,0.000000,0.000000,3224.000000,948707537.000000,348669913.000000,87437632.000000,11758655.000000,107026722.000000,28417384.000000,15428597.000000,198310.000000,1783454439644132219,0
2500000,312907589,49954166378,2500000,375.705768,0.000000,0.000000,3224.000000,937050267.000000,348670877.000000,87437788.000000,11751553.000000,107026989.000000,28321033.000000,14639292.000000,218668.000000,1783454440076351957,0
2500000,314934479,49954166378,2500000,377.824018,0.000000,0.000000,3224.000000,942333704.000000,348671641.000000,87437933.000000,11754967.000000,107027176.000000,28342592.000000,15015961.000000,216787.000000,1783454440505021632,0
2500000,312817178,49954166378,2500000,375.448765,0.000000,0.000000,3224.000000,936409208.000000,348669528.000000,87437512.000000,11757136.000000,107026699.000000,28358363.000000,14431053.000000,220884.000000,1783454440938372008,0
2500000,313755071,49954166378,2500000,376.577080,0.000000,0.000000,3224.000000,939222618.000000,348671387.000000,87437812.000000,11761710.000000,107027122.000000,28379788.000000,14724766.000000,205335.000000,1783454441363599456,0
2500000,314172417,49954166378,2500000,376.987281,0.000000,0.000000,3224.000000,940245564.000000,348671973.000000,87438059.000000,11750577.000000,107027347.000000,28391199.000000,14710186.000000,220392.000000,1783454441790899086,0
2500000,316142753,49954166378,2500000,379.324284,0.000000,0.000000,3224.000000,946075150.000000,348669446.000000,87437523.000000,11789563.000000,107026671.000000,28394684.000000,15155135.000000,202300.000000,1783454442217362941,0
2500000,314339745,49954166378,2500000,377.131336,0.000000,0.000000,3224.000000,940606038.000000,348670679.000000,87437736.000000,11768797.000000,107027004.000000,28349314.000000,14801728.000000,221080.000000,1783454442646031758,0
2500000,313459672,49954166378,2500000,376.215306,0.000000,0.000000,3224.000000,938321237.000000,348672063.000000,87438030.000000,11746909.000000,107027328.000000,28370851.000000,14768900.000000,208414.000000,1783454443073489131,0
2500000,314773571,49954166378,2500000,377.691796,0.000000,0.000000,3224.000000,942005782.000000,348670426.000000,87437678.000000,11768758.000000,107026894.000000,28374718.000000,14976842.000000,205834.000000,1783454443499729075,0
2500000,312910706,49954166378,2500000,375.550502,0.000000,0.000000,3224.000000,936663124.000000,348670146.000000,87437604.000000,11759277.000000,107026819.000000,28370750.000000,14620327.000000,198623.000000,1783454443928980294,0
2500000,319573579,49954166378,2500000,383.065950,0.000000,0.000000,3224.000000,955407490.000000,348672404.000000,87438077.000000,11766111.000000,107027434.000000,28403806.000000,15748982.000000,223181.000000,1783454444353309031,0
2500000,315729840,49954166378,2500000,378.681399,0.000000,0.000000,3224.000000,944471659.000000,348670327.000000,87437710.000000,11793110.000000,107026909.000000,28371586.000000,15139828.000000,207013.000000,1783454444789631501,0
2500000,316602652,49954166378,2500000,379.641912,0.000000,0.000000,3224.000000,946866296.000000,348671497.000000,87437872.000000,11789358.000000,107027185.000000,28357507.000000,15157504.000000,213600.000000,1783454445227828531,0
2500000,315895964,49954166378,2500000,378.881750,0.000000,0.000000,3224.000000,944971681.000000,348671201.000000,87437891.000000,11793907.000000,107027179.000000,28314006.000000,15168156.000000,206751.000000,1783454445655749058,0
2500000,313106590,49954166378,2500000,375.777427,0.000000,0.000000,3224.000000,937229074.000000,348670979.000000,87437782.000000,11762994.000000,107027067.000000,28361342.000000,14502613.000000,216080.000000,1783454446083874704,0
2500000,314651872,49954166378,2500000,377.473927,0.000000,0.000000,3224.000000,941461372.000000,348670864.000000,87437806.000000,11761964.000000,107027010.000000,28377774.000000,14807174.000000,220256.000000,1783454446509822103,0
2500000,315758002,49954166378,2500000,378.785814,0.000000,0.000000,3224.000000,944730901.000000,348673119.000000,87438380.000000,11776455.000000,107027659.000000,28397740.000000,14978957.000000,216317.000000,1783454446937045441,0
2500000,314110395,49954166378,2500000,376.926114,0.000000,0.000000,3224.000000,940094183.000000,348670783.000000,87437752.000000,11770608.000000,107026979.000000,28380496.000000,14738832.000000,209764.000000,1783454447370897266,0
2500000,314213406,49954166378,2500000,377.003069,0.000000,0.000000,3224.000000,940286478.000000,348671159.000000,87437862.000000,11767812.000000,107027096.000000,28384391.000000,14809009.000000,213579.000000,1783454447795849348,0
