duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses
314835207,49954166378,0,1783280393211020925,2500000,2500000,377.636964,0.000000,0.000000,3224.000000,941875703.000000,348843574.000000,87472900.000000,11749709.000000,107064435.000000,28386132.000000,14746276.000000,256450.000000
315382163,49954166378,0,1783280393982297945,2500000,2500000,378.284226,0.000000,0.000000,3224.000000,943489109.000000,348941168.000000,87492494.000000,11741761.000000,107085525.000000,28397813.000000,14914228.000000,242271.000000
319556329,49954166378,0,1783280394685178352,2500000,2500000,383.063013,0.000000,0.000000,3224.000000,955408876.000000,348940238.000000,87492398.000000,11746708.000000,107085323.000000,28466422.000000,15466340.000000,258118.000000
314472697,49954166378,0,1783280395392437200,2500000,2500000,377.244759,0.000000,0.000000,3224.000000,940896504.000000,348840799.000000,87472521.000000,11776065.000000,107063940.000000,28388303.000000,14627311.000000,238769.000000
314853315,49954166378,0,1783280396128348493,2500000,2500000,377.595718,0.000000,0.000000,3224.000000,941773278.000000,348839638.000000,87472349.000000,11755278.000000,107063714.000000,28317270.000000,14672668.000000,266968.000000
312574954,49954166378,0,1783280396880048289,2500000,2500000,375.197716,0.000000,0.000000,3224.000000,935792158.000000,348839922.000000,87472346.000000,11718074.000000,107063740.000000,28385867.000000,14422835.000000,231635.000000
316442479,49954166378,0,1783280397633195518,2500000,2500000,379.498521,0.000000,0.000000,3224.000000,946518479.000000,348928103.000000,87489967.000000,11720376.000000,107082757.000000,28421059.000000,14980743.000000,265479.000000
313522649,49954166378,0,1783280398396565252,2500000,2500000,376.238732,0.000000,0.000000,3224.000000,938389529.000000,348915534.000000,87487431.000000,11769840.000000,107079967.000000,28373112.000000,14444698.000000,238516.000000
315132086,49954166378,0,1783280399096637806,2500000,2500000,378.212871,0.000000,0.000000,3224.000000,943312642.000000,348917813.000000,87487775.000000,11767578.000000,107080545.000000,28384670.000000,14617388.000000,278441.000000
315044787,49954166378,0,1783280399816908515,2500000,2500000,377.906391,0.000000,0.000000,3224.000000,942547618.000000,348816052.000000,87467524.000000,11769082.000000,107058495.000000,28395670.000000,14838977.000000,233546.000000
314204233,49954166378,0,1783280400562991206,2500000,2500000,376.822115,0.000000,0.000000,3224.000000,939843913.000000,348923729.000000,87488710.000000,11781179.000000,107081764.000000,28374223.000000,14494418.000000,260127.000000
315048019,49954166378,0,1783280401339950873,2500000,2500000,377.990449,0.000000,0.000000,3224.000000,942757730.000000,348846637.000000,87473377.000000,11798868.000000,107065098.000000,28367906.000000,14665254.000000,238169.000000
315352113,49954166378,0,1783280402086979560,2500000,2500000,378.100574,0.000000,0.000000,3224.000000,943032288.000000,348792828.000000,87462214.000000,11740191.000000,107053379.000000,28400269.000000,14722049.000000,261841.000000
314324436,49954166378,0,1783280402941914897,2500000,2500000,377.215514,0.000000,0.000000,3224.000000,940823602.000000,348847479.000000,87473581.000000,11709973.000000,107065293.000000,28384899.000000,14800143.000000,235300.000000
315273889,49954166378,0,1783280403744379546,2500000,2500000,378.140385,0.000000,0.000000,3224.000000,943130907.000000,348972116.000000,87500235.000000,11799056.000000,107092744.000000,28370509.000000,14836099.000000,234446.000000
