duration,evidence,exit_code,timestamp,cpufreq_before,cpufreq_after,perf:cycles,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cache-misses,perf:l2_rqsts.all_demand_miss,perf:L1-dcache-misses
315584454,49954166378,0,1783119303265276036,2500000,2499998,943601593.000000,0.000000,0.000000,3224.000000,1236597.000000,15737259.000000,28400414.000000
312767555,49954166378,0,1783119303979658041,2500000,2499997,935855950.000000,0.000000,0.000000,3224.000000,1300191.000000,15111553.000000,28367073.000000
311707112,49954166378,0,1783119304670552752,2500000,2500011,932773257.000000,2.000000,0.000000,3224.000000,1277023.000000,14977076.000000,28354318.000000
312735662,49954166378,0,1783119305388751100,2500000,2500003,935888745.000000,0.000000,0.000000,3224.000000,1269596.000000,15144510.000000,28365190.000000
310850944,49954166378,0,1783119306121943616,2500000,2500002,930425678.000000,1.000000,0.000000,3224.000000,1268013.000000,14852764.000000,28351147.000000
311716333,49954166378,0,1783119306896549828,2500000,2499997,932709658.000000,2.000000,0.000000,3224.000000,1277431.000000,14963561.000000,28361617.000000
313675283,49954166378,0,1783119307662082843,2500000,2499997,938323527.000000,3.000000,0.000000,3224.000000,1258923.000000,15318378.000000,28381001.000000
312838567,49954166378,0,1783119308473002697,2500000,2499999,935974400.000000,3.000000,0.000000,3224.000000,1326943.000000,15058671.000000,28383319.000000
310217724,49954166378,0,1783119309281682654,2500000,2499998,928787513.000000,0.000000,0.000000,3224.000000,1250996.000000,14754349.000000,28348393.000000
312598809,49954166378,0,1783119310101488561,2500000,2499998,935371968.000000,1.000000,0.000000,3224.000000,1272957.000000,15135560.000000,28378531.000000
312887236,49954166378,0,1783119310927451959,2500000,2500003,936424062.000000,2.000000,0.000000,3224.000000,1260073.000000,15234737.000000,28385698.000000
311862025,49954166378,0,1783119311770514336,2500000,2500003,933267559.000000,3.000000,0.000000,3224.000000,1298042.000000,14938641.000000,28354689.000000
312647341,49954166378,0,1783119312693444865,2500000,2499997,935006865.000000,2.000000,0.000000,3224.000000,1249034.000000,15171187.000000,28362491.000000
313763970,49954166378,0,1783119313776183081,2500000,2499997,938521541.000000,4.000000,0.000000,3224.000000,1296988.000000,15312859.000000,28389788.000000
310827646,49954166378,0,1783119314752488749,2500000,2500006,930270896.000000,3.000000,0.000000,3224.000000,1288412.000000,14784856.000000,28344760.000000
311624128,49954166378,0,1783119315871546535,2500000,2500000,932864852.000000,2.000000,0.000000,3224.000000,1288601.000000,14966894.000000,28366940.000000
311876466,49954166378,0,1783119317091387556,2500000,2500003,933256633.000000,1.000000,0.000000,3224.000000,1307671.000000,14943660.000000,28365705.000000
313205140,49954166378,0,1783119318244680306,2500000,2499998,937073657.000000,2.000000,0.000000,3224.000000,1312181.000000,15137934.000000,28377503.000000
313139658,49954166378,0,1783119319386245333,2500000,2499998,936663184.000000,1.000000,0.000000,3224.000000,1272639.000000,15226235.000000,28382311.000000
311450971,49954166378,0,1783119320454187454,2500000,2499996,932007599.000000,3.000000,0.000000,3224.000000,1277284.000000,14921070.000000,28360008.000000
312028478,49954166378,0,1783119321396066282,2500000,2500001,933955038.000000,0.000000,0.000000,3224.000000,1260020.000000,15070450.000000,28363892.000000
311323968,49954166378,0,1783119322322178683,2500000,2499999,931468555.000000,2.000000,0.000000,3224.000000,1290095.000000,14847690.000000,28357957.000000
345280539,49954166378,0,1783119323347373341,2500000,2500001,939271796.000000,782.000000,0.000000,3224.000000,1321286.000000,15237709.000000,28557739.000000
313451451,49954166378,0,1783119324526029744,2500000,2500003,937483808.000000,2.000000,0.000000,3224.000000,1253251.000000,15278213.000000,28382331.000000
312692560,49954166378,0,1783119325653188809,2500000,2499998,935556348.000000,3.000000,0.000000,3224.000000,1300013.000000,15075359.000000,28382070.000000
312186479,49954166378,0,1783119326811701346,2500000,2500009,934188761.000000,4.000000,0.000000,3224.000000,1260161.000000,15063953.000000,28369225.000000
316398478,49954166378,0,1783119328031464186,2500000,2499997,945945016.000000,3.000000,0.000000,3224.000000,1336422.000000,15689273.000000,28379964.000000
311954766,49954166378,0,1783119329201457451,2500000,2499998,933297181.000000,2.000000,0.000000,3224.000000,1320028.000000,14923984.000000,28364255.000000
311723419,49954166378,0,1783119330258858451,2500000,2500000,932933139.000000,4.000000,0.000000,3224.000000,1284757.000000,14979604.000000,28355359.000000
311145680,49954166378,0,1783119331299229730,2500000,2500009,931360259.000000,2.000000,0.000000,3224.000000,1258000.000000,14919678.000000,28348588.000000
312698820,49954166378,0,1783119332282667900,2500000,2500002,935832807.000000,2.000000,0.000000,3224.000000,1271011.000000,15156900.000000,28367800.000000
311928422,49954166378,0,1783119333303807118,2500000,2499997,933299483.000000,0.000000,0.000000,3224.000000,1239061.000000,15056727.000000,28367833.000000
312712716,49954166378,0,1783119334501365096,2500000,2500006,935568665.000000,3.000000,0.000000,3224.000000,1288213.000000,15129317.000000,28379752.000000
